title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Here Be Monsters!,,"['Fantasy', 'Childrens', 'Middle Grade', 'Fiction', 'Humor', 'Young Adult', 'Adventure', 'Steampunk', 'Chapter Books', 'Juvenile']","Welcome to Ratbridge. But beware—for there is skulduggery afoot. Young Arthur has fallen foul of the appalling outlaw, Snatcher, and is trapped alone in the town with every way home sealed.Meanwhile Snatcher and his men are working tirelessly in secret on a fiendish and dastardly plan to take over—and destroy—the entire town. With the help of Willbury Nibble, QC; some friendly boxtrolls and cabbageheads; Marjorie the frustrated inventor; and the rats and pirates from the Ratbridge Nautical Laundry, can Arthur thwart Snatcher’s evil plans—and find his way home?",The Ratbridge Chronicles #1,,10/29/05,July 1st 2006,"['Eggs', 'Fish', 'Oil Can', 'Shoe', 'Fragile', 'Winnie Portley-Rind', 'Archibald P. Snatcher', 'Specs', 'Arthur', 'Grandfather', 'Willbury', 'Marjorie', 'Titus the Cabbagehead', 'Kipper', 'Tom']",Hardcover,,9780689870477,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347986052l/79088.jpg,3.84,[],191.0,2.0,,,,90.0,1265.0,529,Atheneum Books for Young Readers,"['388', '430', '321', '103', '23']",,[],,['Alan Snow']
House of Suns,,"['Science Fiction', 'Fiction', 'Space Opera', 'Audiobook', 'Science Fiction Fantasy', 'Fantasy', 'Space', 'Hard Science Fiction', 'Speculative Fiction', 'Mystery']","Six million years ago, at the dawn of the star-faring era, Abigail Gentian fractured herself into a thousand male and female clones, which she called shatterlings. But now, someone is eliminating the Gentian line. Campion and Purslane—two shatterlings who have fallen in love and shared forbidden experiences—must determine exactly who, or what, their enemy is, before they are wiped out of existence.",,Free edition with SFX magazine-August 2010,04/17/08,2010,"['Purslane', 'Abigail Gentian', 'Hesperus', 'Madame Kleinfelter']",Paperback,,9780575099128,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447892903l/1126719.jpg,4.22,['Arthur C. Clarke Award Nominee (2009)'],300.0,4.0,,,,97.0,20624.0,512,Gollancz,"['8866', '8235', '2904', '486', '133']",,[],,['Alastair Reynolds']
Holly,,['Fiction'],"Holly is the story of a poor, white girl in 1944 North Carolina, whose lonely world is transformed by a handsome, educated black soldier from the war - and of the town's savage response to their romance. An indictment, a love story, and evocation of a time and place, it confirms Albert French as a dark and passionate chronicler of American mores and culture",,,10/30/95,July 3rd 1995,[],Paperback,,9780749396633,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359619289l/3513856.jpg,3.63,[],99.0,1.0,,,,86.0,95.0,368,Vintage,"['20', '36', '26', '10', '3']",,[],,['Albert French']
Huxley and God,Essays on Religious Experience,Religion,"This volume of essays, written with the authors trademark elegance and wit, tackles subjects such as Action and Contemplation, Religion and Time, Reflections on the Lord's Prayer, and Notes on Zen.",,,,2003.0,,,0824522524,9780824522520,,http://books.google.com/books/content?id=jv2PAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.31,,,,,,,,,320.0,,,96.0,,,['Aldous Huxley']
Hana,,"['Czech Literature', 'Fiction', 'Historical Fiction', 'War', 'Holocaust', 'World War II', 'Contemporary', 'Novels', 'Historical', '21st Century']","Třetí román úspěšné české autorky.Existuje-li něco, co prověřuje opravdovost lidského života, pak je to utrpení. A existuje-li něco, co život znehodnocuje, pak je to utrpení, které člověk působí jiným. Jenže co když je přesto nevinen? Co když je to všechno jen shoda okolností a člověk je pouze bezmocným nástrojem osudu?Je zima roku 1954 a devítiletá Mira se přes zákaz rodičů vypraví k řece jezdit na ledových krách. Spadne do vody, čímž se její neposlušnost prozradí, a je za to potrestána tím, že na rodinné oslavě nedostane zákusek. Nevinná příhoda z dětství však pro Miru znamená zásadní životní zvrat. Následuje tragédie, která ji na dlouhá léta připoutá k nemluvné a depresivní tetě Haně a odhalí pohnutou rodinnou historii, jež nadále popluje s proudem jejího života jako ledová kra.Příběh, který vychází ze skutečných událostí, popisuje Alena Mornštajnová ve strhujícím tempu a se smyslem pro dramatičnost, až má čtenář pocit, že sleduje napínavý film. Zůstává jen otázka, zda se kra osudu nakonec přece jen rozpustí…",,,,March 2017,[],Hardcover,,9788074919404,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483899383l/33819853.jpg,4.71,[],97.0,1.0,,,,99.0,3905.0,306,Host,"['2986', '726', '172', '17', '4']",,[],,['Alena Mornštajnová']
Hunted,,"['Vampires', 'Young Adult', 'Paranormal', 'Fantasy', 'Young Adult Paranormal', 'Supernatural', 'Romance', 'Teen']","Jason Freeman is torn, wondering which natural wonder is more deserving of his attention — the awesome-looking Malibu surf, or Sienna Devereux, who lounges on the beach. He lives in Malibu, has a gorgeous girlfriend and some very cool friends — most of whom just happen to be vampires. The vampire clique are settling in for a good summer. Jason is hoping that things will be calmer than they have been over the last few months. But their peace is shattered when evidence emerges that there's a vampire hunter in town. Friends are going missing and then reappearing with no real memory of what's happened to them. What's really going on?",Vampire Beach #6,,,"The Best of the Best

1,235 books — 1,157 voters
Books That You Can't Stop Thinking About

136 books — 182 voters","['Jason Freeman', 'Sienna Devereux']",,,9781862304338,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327373901l/2474204.jpg,3.83,[],87.0,1.0,,,,89.0,955.0,,,"['313', '292', '246', '87', '17']",,[],,['Alex Duval']
His Alone,,"['Romance', 'Contemporary', 'Contemporary Romance', 'Erotica', 'New Adult', 'Erotic Romance', 'Adult', 'Audiobook', 'Fiction', 'Romantic Suspense']","Ryan Justice may be her boss, but nothing will stop him from making her his. USA TODAY and #1 ebook bestselling author Alexa Riley entices with a brand-new, full-length novel.She thinks I'm perfect. A good boss, a good man. She thinks that I play by the rules.She has no idea who I truly am. Why I'm really here.Paige Turner is trying to outrun her past, but there it is, tossed back in her face anytime she manages to get two steps ahead.She has no idea what a man like me will do to get what he wants.Her need for Ryan got in the way of revenge, took her off course. Redirected her focus. Before she knew it, he'd made his way into her life. Into her heart.I'm dirtier than she knows. She thinks I'm good to the core, but she doesn't know the things I've done. The things I would do for her.True love doesn't let secrets as big as these stay buried. And when the truth about Paige's father is finally exposed, Ryan will do anything to fix everything. Paige has always been his and his alone.",For Her #2,,,March 28th 2017,[],Mass Market Paperback,,9780373004539,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476037059l/32195234.jpg,4.0,[],37.0,1.0,,,,93.0,4414.0,297,Carina Press,"['1654', '1520', '921', '242', '77']",,[],,['Alexa Riley']
Halloween Treats,,"['Romance', 'Erotica', 'Novella', 'Contemporary', 'Contemporary Romance', 'Holiday', 'Adult', 'Halloween', 'Short Stories', 'Anthologies']","Raven Treat is an elementary school teacher with a secret crush on the uncle of a student. She's been lusting from afar, but little does she know he's been taking steps to make her his.Jack Bates has been obsessed with Raven since the second he saw her. The Halloween school dance is his opening to make her his and make sure she never gets away. Warning: Their story is fast, hot, and sugary sweet! Grab some candy corn and throw it in the trash... Then get some chocolate and snuggle up with this adorable read!",,,,October 19th 2016,[],Kindle Edition,,B01M7SDXTO,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476810911l/32699670._SY475_.jpg,3.83,[],41.0,1.0,,,,90.0,2786.0,67,,"['930', '797', '774', '225', '60']",,[],,['Alexa Riley']
How to Write an Autobiographical Novel: Essays,,"['Essays', 'Nonfiction', 'Memoir', 'Writing', 'LGBT', 'Queer', 'Biography Memoir', 'Biography', 'Gay', 'Autobiography']","From the author of The Queen of the Night, an essay collection exploring his education as a man, writer, and activist—and how we form our identities in life and in art.As a novelist, Alexander Chee has been described as “masterful” by Roxane Gay, “incendiary” by the New York Times, and ""brilliant"" by the Washington Post. With How to Write an Autobiographical Novel, his first collection of nonfiction, he’s sure to secure his place as one of the finest essayists of his generation as well.How to Write an Autobiographical Novel is the author’s manifesto on the entangling of life, literature, and politics, and how the lessons learned from a life spent reading and writing fiction have changed him. In these essays, he grows from student to teacher, reader to writer, and reckons with his identities as a son, a gay man, a Korean American, an artist, an activist, a lover, and a friend. He examines some of the most formative experiences of his life and the nation’s history, including his father’s death, the AIDS crisis, 9/11, the jobs that supported his writing—Tarot-reading, bookselling, cater-waiting for William F. Buckley—the writing of his first novel, Edinburgh, and the election of Donald Trump.By turns commanding, heartbreaking, and wry, How to Write an Autobiographical Novel asks questions about how we create ourselves in life and in art, and how to fight when our dearest truths are under attack.",,,,April 17th 2018,[],Paperback,,9781328764522,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520607692l/35721123._SY475_.jpg,4.44,"['Lambda Literary Award Nominee for Gay Memoir/Biography (2019)', 'PEN/Diamonstein-Spielvogel Award for the Art of the Essay  Nominee for Shortlist (2019)']",96.0,1.0,,,,98.0,5927.0,288,Mariner Books,"['3398', '1869', '541', '95', '24']",,[],,['Alexander Chee']
Honour this Day,,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'War', 'Military Fiction', 'Naval Historical Fiction', 'Maritime', 'Action']","In September 1804, as England stands alone against France and the fleets of Spain, Vice-Admiral Richard Bolitho hoists his flag above the veteran Hyperion and sets sail with a new squadron for the Caribbean. His orders are to plan and execute a daring dawn raid on the Spanish Main.",Richard Bolitho #19,,11/06/87,April 1st 2000,[],Paperback,,9780935526738,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389232501l/1043313.jpg,4.03,[],79.0,1.0,,,,96.0,664.0,316,McBooks Press,"['221', '274', '142', '22', '5']",,[],,"['Alexander Kent', 'Douglas Reeman']"
Halo,,"['Young Adult', 'Angels', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Demons', 'Urban Fantasy']","An angel is sent to Earth on a mission.But falling in love is not part of the plan.Three angels – Gabriel, the warrior; Ivy, the healer; and Bethany, the youngest and most human – are sent by Heaven to bring good to a world falling under the influence of darkness. They work hard to conceal their luminous glow, superhuman powers, and, most dangerous of all, their wings, all the while avoiding all human attachments.Then Bethany meets Xavier Woods, and neither of them is able to resist the attraction between them. Gabriel and Ivy do everything in their power to intervene, but the bond between Xavier and Bethany seems too strong.The angel’s mission is urgent, and dark forces are threatening. Will love ruin Bethany or save her?",Halo #1,First Edition,01/08/10,August 31st 2010,"['Bethany Church', 'Xavier Woods', 'Gabriel Church', 'Ivy Church', 'Jake Thorn']",Hardcover,,9780312656263,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1278885735l/7778981.jpg,3.67,[],5340.0,75.0,,,,82.0,64431.0,485,Feiwel & Friends,"['21573', '16543', '14521', '6856', '4938']",,[],,['Alexandra Adornetto']
Hades,,"['Angels', 'Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Demons', 'Supernatural', 'Fiction', 'Teen']","Heaven Help Her.Bethany Church is an angel sent to Earth to keep dark forces at bay. Falling in love was never part of her mission, but the bond between Beth and her mortal boyfriend, Xavier Woods, is undeniably strong. But even Xavier’s love, and the care of her archangel siblings, Gabriel and Ivy, can’t keep Beth from being tricked into a motorcycle ride that ends up in Hell. There, the demon Jake Thorn bargains for Beth’s release back to Earth. But what he asks of her will destroy her, and quite possibly, her loved ones, as well.The story that Alexandra Adornetto built in her New York Times - bestselling debut, Halo, comes alive in action-packed and unexpected ways, as angels battle demons, and the power of love is put to the test.",Halo #2,First Edition,08/21/11,August 30th 2011,"['Bethany Church', 'Xavier Woods', 'Gabriel Church', 'Ivy Church', 'Jake Thorn']",Hardcover,,9780312656270,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478985289l/9666812._SY475_.jpg,3.96,[],1099.0,13.0,,,,89.0,31166.0,425,Feiwel & Friends,"['12978', '8602', '6187', '2207', '1192']",,[],,['Alexandra Adornetto']
Heaven,,"['Angels', 'Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Demons', 'Teen', 'Mythology']","Heaven must be missing an angel....The angel Bethany and her mortal love, Xavier, have already pushed the boundaries of Heaven with their relationship. In this conclusion to the Halo trilogy, the two take their love to the next, forbidden, step: They marry.At a time when they believe nothing will come between them again, they are faced with their most daunting challenge yet: the Sevens, a military order of angels designed to maintain balance in the universe. These soldiers won't stop until their job is done - capture the wayward angel and send her home.Secrets, exile, and unexpected allies flavor the rest of this intense love story and adventure.Beth discovers there is only one way back to earth, but the cost is higher than she - and readers - ever imagined. If she can survive, she can prove to Heaven and Earth that there is nothing stronger than the power of love.",Halo #3,First Edition,10/28/12,August 21st 2012,"['Bethany Church', 'Xavier Woods', 'Gabriel Church', 'Ivy Church']",Hardcover,,9780312656287,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332367132l/13056511.jpg,3.9,[],435.0,6.0,,,,87.0,17110.0,419,Feiwel & Friends,"['6989', '4429', '3508', '1319', '865']",,"['Ole Miss (United States)', 'Venus Cove (United States)']",,['Alexandra Adornetto']
Headlight 4,,[],Anthology of poetry and fiction.,,,,2001,[],Paperback,,9780968326435,,,5.0,[],63.0,1.0,,,,,1.0,77,Concordia University,[],,[],,['Alexandra Pasian']
Heal With Me & Our Journey Goes On,,['Poetry'],"This is the third edition to the Heal With Me series. It started as Inspiration Needed…A Book of Poems in 1997; to Heal With Me, and Our Journey Goes On in 1999, and 2001. These books have been a source of inspiration in various schools, organizations, and societies across Canada, and as well as in different households; I hope they will generate the same feelings this time around.",,,07/11/97,March 23rd 2015,[],Paperback,,9781460260647,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428103080l/25264909.jpg,4.65,[],100.0,1.0,,,,94.0,48.0,120,FriesenPress,"['40', '4', '1', '1', '2']",,[],,['Ali Marsman']
